tile_filename,source_product,tile_x,tile_y,center_lat,center_lon,std_dev,prox_score,mean_pixel,std_norm,priority_score
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x06400_y03840.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,6400,3840,-70.592638,22.738698,68.784,0.0,28.18,0.3768580477090464,0.1507
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x07680_y03840.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,7680,3840,-70.592399,22.769959,72.876,0.0,22.28,0.42911324513459675,0.1716
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x08320_y03840.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,8320,3840,-70.592277,22.7856,62.303,0.0,43.01,0.29409511161056334,0.1176
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x08960_y03840.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,8960,3840,-70.592154,22.801248,63.175,0.0,58.91,0.30523062777749393,0.1221
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x09600_y03840.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,9600,3840,-70.59203,22.816903,55.56,0.0,93.69,0.20798641262706238,0.0832
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x10240_y03840.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,10240,3840,-70.591904,22.832565,56.818,0.0,141.72,0.22405118251008832,0.0896
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x10880_y03840.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,10880,3840,-70.591776,22.848233,59.419,0.0,121.01,0.2572661797006691,0.1029
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x11520_y03840.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,11520,3840,-70.591648,22.863909,78.763,0.0,54.07,0.5042907493487256,0.2017
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x00000_y04480.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,0,4480,-70.599076,22.583107,74.438,0.0,30.45,0.4490601215712316,0.1796
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x00640_y04480.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,640,4480,-70.59897,22.59867,64.141,0.0,33.19,0.31756653215508,0.127
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x01280_y04480.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,1280,4480,-70.598864,22.61424,57.94,0.0,41.7,0.23837922051386826,0.0954
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x01920_y04480.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,1920,4480,-70.598756,22.629816,57.277,0.0,42.95,0.2299126526025438,0.092
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x02560_y04480.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,2560,4480,-70.598646,22.6454,54.56,0.0,53.93,0.19521632527966493,0.0781
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x03200_y04480.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,3200,4480,-70.598535,22.66099,61.851,0.0,45.24,0.28832303212953975,0.1153
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x03840_y04480.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,3840,4480,-70.598423,22.676587,64.599,0.0,23.54,0.323415232160188,0.1294
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x04480_y04480.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,4480,4480,-70.59831,22.692191,62.519,0.0,50.02,0.29685345047760126,0.1187
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x05120_y04480.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,5120,4480,-70.598195,22.707802,64.287,0.0,41.7,0.31943096490780004,0.1278
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x05760_y04480.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,5760,4480,-70.598079,22.723419,63.871,0.0,29.71,0.31411860857128265,0.1256
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x06400_y04480.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,6400,4480,-70.597961,22.739043,88.607,0.0,54.71,0.6299994891965061,0.252
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x08320_y04480.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,8320,4480,-70.5976,22.785958,70.973,0.0,24.31,0.40481176891249937,0.1619
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x08960_y04480.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,8960,4480,-70.597476,22.80161,66.922,0.0,33.23,0.35308014506819224,0.1412
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x09600_y04480.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,9600,4480,-70.597352,22.817269,65.865,0.0,44.32,0.3395821627419931,0.1358
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x10240_y04480.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,10240,4480,-70.597226,22.832934,55.8,0.0,81.07,0.2110512335904377,0.0844
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x10880_y04480.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,10880,4480,-70.597098,22.848607,53.896,0.0,89.14,0.186736987280993,0.0747
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x11520_y04480.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,11520,4480,-70.59697,22.864287,76.988,0.0,44.62,0.48162384430709504,0.1926
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x00000_y05120.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,0,5120,-70.604399,22.583412,70.165,0.0,29.26,0.3944935383358023,0.1578
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x00640_y05120.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,640,5120,-70.604294,22.598979,59.592,0.0,39.38,0.2594754048117689,0.1038
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x01280_y05120.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,1280,5120,-70.604187,22.614553,61.963,0.0,42.88,0.28975328191244826,0.1159
